acc	uar	f1
0.7140	0.7547	0.7104
0.7343	0.7779	0.7397
0.7942	0.8125	0.7947
0.7472	0.8000	0.7591
0.7586	0.7497	0.7538
0.7424	0.7437	0.7453
0.8106	0.7819	0.7890
0.7955	0.7606	0.7591
0.7424	0.7792	0.7516
0.7343	0.7485	0.7364
0.7573	0.7709	0.7539
