acc	uar	f1
0.7197	0.7595	0.7154
0.7289	0.7723	0.7338
0.7942	0.8110	0.7942
0.7472	0.7986	0.7593
0.7529	0.7435	0.7476
0.7361	0.7383	0.7396
0.8068	0.7768	0.7841
0.7936	0.7614	0.7553
0.7356	0.7718	0.7454
0.7435	0.7545	0.7433
0.7558	0.7688	0.7518
