acc	uar	f1
0.7197	0.7620	0.7155
0.7253	0.7687	0.7311
0.7838	0.8035	0.7843
0.7030	0.7712	0.7219
0.7490	0.7440	0.7447
0.7456	0.7476	0.7485
0.7898	0.7521	0.7575
0.8087	0.7746	0.7755
0.6763	0.7261	0.6816
0.7343	0.7310	0.7232
0.7435	0.7581	0.7384
