acc	uar	f1
0.7159	0.7584	0.7114
0.7361	0.7794	0.7418
0.7817	0.8000	0.7813
0.7288	0.7930	0.7464
0.7452	0.7377	0.7408
0.7345	0.7372	0.7380
0.7973	0.7680	0.7736
0.8030	0.7694	0.7649
0.7102	0.7526	0.7185
0.7465	0.7524	0.7452
0.7499	0.7648	0.7462
