acc	uar	f1
0.7140	0.7543	0.7106
0.7217	0.7692	0.7283
0.7921	0.8100	0.7930
0.7399	0.7936	0.7515
0.7625	0.7545	0.7590
0.7377	0.7397	0.7417
0.7973	0.7688	0.7739
0.8011	0.7643	0.7651
0.7339	0.7681	0.7409
0.7496	0.7632	0.7506
0.7550	0.7686	0.7515
