acc	uar	f1
0.7027	0.7278	0.6885
0.7487	0.7991	0.7578
0.7526	0.7636	0.7562
0.7306	0.7763	0.7475
0.7165	0.7216	0.7151
0.6979	0.6953	0.7020
0.8295	0.7951	0.7967
0.8352	0.7919	0.7981
0.7695	0.7876	0.7721
0.7711	0.7844	0.7656
0.7554	0.7643	0.7500
