acc	uar	f1
0.6989	0.7262	0.6840
0.7487	0.7979	0.7574
0.7879	0.7991	0.7924
0.7528	0.7919	0.7637
0.7337	0.7360	0.7327
0.7281	0.7244	0.7361
0.8409	0.8161	0.8177
0.8295	0.7974	0.8024
0.7797	0.7961	0.7826
0.7680	0.7854	0.7663
0.7668	0.7771	0.7635
