acc	uar	f1
0.7064	0.7255	0.6931
0.7451	0.7947	0.7563
0.7256	0.7308	0.7235
0.7103	0.7573	0.7297
0.6724	0.6866	0.6733
0.6995	0.6975	0.7006
0.8201	0.7810	0.7853
0.8409	0.8033	0.8095
0.7492	0.7694	0.7555
0.7558	0.7632	0.7464
0.7425	0.7509	0.7373
