acc	uar	f1
0.7064	0.7333	0.6937
0.7451	0.7959	0.7538
0.8046	0.8175	0.8121
0.7620	0.7975	0.7725
0.7471	0.7477	0.7460
0.7313	0.7260	0.7405
0.8371	0.8164	0.8144
0.8239	0.7917	0.7933
0.7898	0.8072	0.7935
0.7650	0.7792	0.7608
0.7712	0.7812	0.7681
